Solution Algo,Maze Algo,Multiple,Size,Time,Nv,Nde,Steps,Path Length,Maze Shortest Path
BFS,DFS,0,601,176973,76689,19458,76688,14667,14667
RIGHT HAND RULE,DFS,0,601,368375,79545,35883,144422,14667,14667
BFS,PRIM,0,601,363767,170105,27586,170104,1535,1535
RIGHT HAND RULE,PRIM,0,601,183972,37803,12007,74070,1535,1535
BFS,HUNT_AND_KILL,0,601,142578,62028,12148,62027,1275,1275
RIGHT HAND RULE,HUNT_AND_KILL,0,601,525972,100649,39487,200022,1275,1275
BFS,RECURSIVE_DIVISION,0,601,461094,209071,7238,209070,7405,7405
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,178176,46952,3273,67600,8825,7405
BFS,DFS,0,601,280128,127471,31970,127470,23339,23339
RIGHT HAND RULE,DFS,0,601,526544,114271,51071,205202,23339,23339
BFS,PRIM,0,601,293594,136290,21873,136289,1479,1479
RIGHT HAND RULE,PRIM,0,601,153685,31575,9887,61670,1479,1479
BFS,HUNT_AND_KILL,0,601,383931,180001,35292,180000,1283,1283
RIGHT HAND RULE,HUNT_AND_KILL,0,601,423960,82205,32046,163126,1283,1283
BFS,RECURSIVE_DIVISION,0,601,363136,167321,5923,167320,6105,6105
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,397677,98523,7287,146628,7231,6105
BFS,DFS,0,601,145681,63206,15885,63205,11031,11031
RIGHT HAND RULE,DFS,0,601,694236,141101,67550,271170,11031,11031
BFS,PRIM,0,601,351430,164366,26550,164365,1387,1387
RIGHT HAND RULE,PRIM,0,601,202808,40747,12912,80106,1387,1387
BFS,HUNT_AND_KILL,0,601,346428,162164,31808,162163,1335,1335
RIGHT HAND RULE,HUNT_AND_KILL,0,601,288111,57309,22176,113282,1335,1335
BFS,RECURSIVE_DIVISION,0,601,443460,205373,7308,205372,9091,9091
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,248357,65238,4678,94010,10803,9091
BFS,DFS,0,601,275252,125532,31555,125531,18815,18815
RIGHT HAND RULE,DFS,0,601,529847,113213,51737,207610,18815,18815
BFS,PRIM,0,601,131675,57418,9281,57417,1303,1303
RIGHT HAND RULE,PRIM,0,601,362070,71151,23018,140998,1303,1303
BFS,HUNT_AND_KILL,0,601,221444,101365,19632,101364,1371,1371
RIGHT HAND RULE,HUNT_AND_KILL,0,601,336340,66995,25900,132618,1371,1371
BFS,RECURSIVE_DIVISION,0,601,348179,159766,5414,159765,12537,12537
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,244571,64982,4233,91070,14869,12537
BFS,DFS,0,601,122842,52180,13418,52179,10871,10871
RIGHT HAND RULE,DFS,0,601,488716,101657,47924,192442,10871,10871
BFS,PRIM,0,601,304777,141797,22799,141796,1507,1507
RIGHT HAND RULE,PRIM,0,601,139329,28823,9068,56138,1507,1507
BFS,HUNT_AND_KILL,0,601,364098,170668,33369,170667,1247,1247
RIGHT HAND RULE,HUNT_AND_KILL,0,601,363123,70533,27561,139818,1247,1247
BFS,RECURSIVE_DIVISION,0,601,445699,206793,7305,206792,13329,13329
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,439976,108901,7937,157638,15885,13329
BFS,DFS,0,601,161424,70720,17786,70719,15807,15807
RIGHT HAND RULE,DFS,0,601,210319,50421,21098,85034,15807,15807
BFS,PRIM,0,601,307954,143352,23094,143351,1355,1355
RIGHT HAND RULE,PRIM,0,601,285154,56553,17965,111750,1355,1355
BFS,HUNT_AND_KILL,0,601,383526,179931,35277,179930,1243,1243
RIGHT HAND RULE,HUNT_AND_KILL,0,601,447751,87297,33976,173350,1243,1243
BFS,RECURSIVE_DIVISION,0,601,314859,144705,5183,144704,5421,5421
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,679738,162732,12543,245658,6303,5421
BFS,DFS,0,601,307226,140527,35129,140526,26767,26767
RIGHT HAND RULE,DFS,0,601,530221,117333,51765,207898,26767,26767
BFS,PRIM,0,601,156572,69929,11166,69928,1327,1327
RIGHT HAND RULE,PRIM,0,601,463435,89735,28766,178142,1327,1327
BFS,HUNT_AND_KILL,0,601,194527,88026,17018,88025,1263,1263
RIGHT HAND RULE,HUNT_AND_KILL,0,601,558133,107705,41872,214146,1263,1263
BFS,RECURSIVE_DIVISION,0,601,387427,178707,5936,178706,11885,11885
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,487231,119805,8412,176014,13623,11885
BFS,DFS,0,601,151200,65857,16705,65856,13351,13351
RIGHT HAND RULE,DFS,0,601,718342,146655,69788,279958,13351,13351
BFS,PRIM,0,601,362872,170033,27574,170032,1443,1443
RIGHT HAND RULE,PRIM,0,601,177971,36159,11446,70874,1443,1443
BFS,HUNT_AND_KILL,0,601,384001,180001,35342,180000,1271,1271
RIGHT HAND RULE,HUNT_AND_KILL,0,601,353618,69479,26906,137686,1271,1271
BFS,RECURSIVE_DIVISION,0,601,255361,115829,3995,115828,5701,5701
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,77575,22737,1441,31058,6827,5701
BFS,DFS,0,601,248306,112555,28209,112554,19455,19455
RIGHT HAND RULE,DFS,0,601,293500,67733,28824,116010,19455,19455
BFS,PRIM,0,601,383720,179997,29168,179996,1315,1315
RIGHT HAND RULE,PRIM,0,601,577670,111689,36171,222062,1315,1315
BFS,HUNT_AND_KILL,0,601,368418,172753,33929,172752,1259,1259
RIGHT HAND RULE,HUNT_AND_KILL,0,601,575720,110271,43202,219282,1259,1259
BFS,RECURSIVE_DIVISION,0,601,347034,159112,5377,159111,10119,10119
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,618621,153977,10715,228462,11807,10119
BFS,DFS,0,601,137892,59541,15133,59540,11263,11263
RIGHT HAND RULE,DFS,0,601,675726,138333,65967,265402,11263,11263
BFS,PRIM,0,601,176244,78926,12618,78925,1363,1363
RIGHT HAND RULE,PRIM,0,601,297200,59297,18916,117230,1363,1363
BFS,HUNT_AND_KILL,0,601,378555,177507,34837,177506,1431,1431
RIGHT HAND RULE,HUNT_AND_KILL,0,601,144278,29753,11382,58074,1431,1431
BFS,RECURSIVE_DIVISION,0,601,426471,197664,6858,197663,8851,8851
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,493733,118762,8378,176664,10351,8851
BFS,DFS,0,601,260642,118525,29727,118524,22479,22479
RIGHT HAND RULE,DFS,0,601,625763,133401,60934,244322,22479,22479
BFS,PRIM,0,601,321510,149959,24079,149958,1359,1359
RIGHT HAND RULE,PRIM,0,601,610778,115943,37277,230526,1359,1359
BFS,HUNT_AND_KILL,0,601,367267,171937,33699,171936,1279,1279
RIGHT HAND RULE,HUNT_AND_KILL,0,601,645217,123607,48531,245934,1279,1279
BFS,RECURSIVE_DIVISION,0,601,449434,209232,7156,209231,12815,12815
RIGHT HAND RULE,RECURSIVE_DIVISION,0,601,483713,120526,8648,177076,15095,12815
BFS,DFS,0,601,177239,78336,19780,78335,16327,16327
