Algo,Multiple,Size,Time,Ni,Nde,Shortest Path
DFS,0,21,95,35,45,59
PRIM,0,21,95,26,31,43
HUNT_AND_KILL,0,21,77,31,38,39
RECURSIVE_DIVISION,0,21,585,70,17,95
DFS,0,21,75,37,45,51
PRIM,0,21,86,23,30,43
HUNT_AND_KILL,0,21,74,33,38,39
RECURSIVE_DIVISION,0,21,488,108,11,87
DFS,0,21,69,35,47,95
PRIM,0,21,86,25,33,43
HUNT_AND_KILL,0,21,73,33,37,39
RECURSIVE_DIVISION,0,21,553,102,13,65
DFS,0,21,74,36,44,39
PRIM,0,21,86,30,37,39
HUNT_AND_KILL,0,21,113,27,39,43
RECURSIVE_DIVISION,0,21,562,125,10,59
DFS,0,21,73,35,43,39
PRIM,0,21,126,26,34,39
HUNT_AND_KILL,0,21,75,29,38,39
RECURSIVE_DIVISION,0,21,531,105,11,77
DFS,0,21,69,33,45,39
PRIM,0,21,90,26,31,47
HUNT_AND_KILL,0,21,77,30,37,43
RECURSIVE_DIVISION,0,21,538,114,10,41
DFS,0,21,68,36,46,51
PRIM,0,21,82,24,31,39
HUNT_AND_KILL,0,21,72,28,42,39
RECURSIVE_DIVISION,0,21,440,126,8,39
DFS,0,21,66,36,46,63
PRIM,0,21,81,25,30,47
HUNT_AND_KILL,0,21,74,30,37,43
RECURSIVE_DIVISION,0,21,456,131,9,45
DFS,0,21,73,30,40,59
PRIM,0,21,81,26,32,43
HUNT_AND_KILL,0,21,71,31,40,39
RECURSIVE_DIVISION,0,21,508,116,13,69
DFS,0,21,69,32,45,39
PRIM,0,21,81,27,33,43
HUNT_AND_KILL,0,21,69,27,34,39
RECURSIVE_DIVISION,0,21,424,141,8,43
DFS,0,21,69,36,45,59
PRIM,0,21,81,25,31,51
HUNT_AND_KILL,0,21,73,29,38,39
RECURSIVE_DIVISION,0,21,448,125,12,49
DFS,0,21,67,34,43,75
PRIM,0,21,84,25,33,43
HUNT_AND_KILL,0,21,68,33,47,43
RECURSIVE_DIVISION,0,21,548,114,8,49
DFS,0,21,72,32,47,55
PRIM,0,21,83,25,32,43
HUNT_AND_KILL,0,21,69,30,38,39
RECURSIVE_DIVISION,0,21,515,97,17,43
DFS,0,21,70,34,42,51
PRIM,0,21,84,23,28,39
HUNT_AND_KILL,0,21,79,23,31,39
RECURSIVE_DIVISION,0,21,600,118,5,43
DFS,0,21,69,36,46,83
PRIM,0,21,81,27,33,39
HUNT_AND_KILL,0,21,73,30,41,39
RECURSIVE_DIVISION,0,21,559,107,12,45
DFS,0,21,67,35,46,39
PRIM,0,21,81,27,32,43
HUNT_AND_KILL,0,21,70,30,37,39
RECURSIVE_DIVISION,0,21,463,122,10,51
DFS,0,21,68,36,47,55
PRIM,0,21,82,29,40,39
HUNT_AND_KILL,0,21,72,26,33,39
RECURSIVE_DIVISION,0,21,509,121,12,69
DFS,0,21,68,36,45,47
PRIM,0,21,80,25,32,43
HUNT_AND_KILL,0,21,72,27,36,43
RECURSIVE_DIVISION,0,21,536,112,13,55
DFS,0,21,68,36,45,79
PRIM,0,21,84,29,35,39
HUNT_AND_KILL,0,21,70,28,36,39
RECURSIVE_DIVISION,0,21,408,119,9,59
DFS,0,21,68,35,45,51
PRIM,0,21,84,25,30,39
HUNT_AND_KILL,0,21,77,31,36,39
RECURSIVE_DIVISION,0,21,495,113,12,65
DFS,0,21,69,31,42,63
PRIM,0,21,81,26,34,43
HUNT_AND_KILL,0,21,73,31,41,43
RECURSIVE_DIVISION,0,21,530,123,14,55
DFS,0,21,66,37,44,91
PRIM,0,21,81,25,29,51
HUNT_AND_KILL,0,21,77,28,35,39
RECURSIVE_DIVISION,0,21,431,105,12,71
DFS,0,21,69,35,48,51
PRIM,0,21,83,26,33,39
HUNT_AND_KILL,0,21,74,31,38,39
