Solution Algo,Maze Algo,Multiple,Size,Time,Nv,Nde,Steps,Path Length,Maze Shortest Path
BFS,DFS,0,21,142,139,30,138,59,59
RIGHT HAND RULE,DFS,0,21,94,97,29,134,59,59
BFS,PRIM,0,21,138,141,19,140,43,43
RIGHT HAND RULE,PRIM,0,21,198,177,51,310,43,43
BFS,HUNT_AND_KILL,0,21,115,135,24,134,39,39
RIGHT HAND RULE,HUNT_AND_KILL,0,21,149,141,50,242,39,39
BFS,RECURSIVE_DIVISION,0,21,180,217,18,216,95,95
RIGHT HAND RULE,RECURSIVE_DIVISION,0,21,157,176,26,230,111,95
BFS,DFS,0,21,110,123,28,122,51,51
RIGHT HAND RULE,DFS,0,21,289,105,32,158,51,51
BFS,PRIM,0,21,135,159,22,158,43,43
RIGHT HAND RULE,PRIM,0,21,67,79,19,114,43,43
BFS,HUNT_AND_KILL,0,21,175,201,39,200,39,39
RIGHT HAND RULE,HUNT_AND_KILL,0,21,179,163,57,286,39,39
BFS,RECURSIVE_DIVISION,0,21,188,233,12,232,87,87
RIGHT HAND RULE,RECURSIVE_DIVISION,0,21,101,136,14,160,103,87
BFS,DFS,0,21,170,197,46,196,95,95
RIGHT HAND RULE,DFS,0,21,145,161,55,226,95,95
BFS,PRIM,0,21,129,158,26,157,43,43
RIGHT HAND RULE,PRIM,0,21,128,129,33,214,43,43
BFS,HUNT_AND_KILL,0,21,95,106,18,105,39,39
RIGHT HAND RULE,HUNT_AND_KILL,0,21,130,125,44,210,39,39
BFS,RECURSIVE_DIVISION,0,21,187,229,14,228,65,65
RIGHT HAND RULE,RECURSIVE_DIVISION,0,21,115,137,15,172,71,65
BFS,DFS,0,21,96,96,24,95,39,39
RIGHT HAND RULE,DFS,0,21,105,109,39,178,39,39
BFS,PRIM,0,21,161,201,38,200,39,39
RIGHT HAND RULE,PRIM,0,21,137,103,32,166,39,39
BFS,HUNT_AND_KILL,0,21,142,177,34,176,43,43
RIGHT HAND RULE,HUNT_AND_KILL,0,21,184,139,45,234,43,43
BFS,RECURSIVE_DIVISION,0,21,200,239,11,238,59,59
RIGHT HAND RULE,RECURSIVE_DIVISION,0,21,154,178,15,226,83,59
BFS,DFS,0,21,95,97,22,96,39,39
RIGHT HAND RULE,DFS,0,21,174,143,57,246,39,39
BFS,PRIM,0,21,171,191,30,190,39,39
RIGHT HAND RULE,PRIM,0,21,114,91,27,142,39,39
BFS,HUNT_AND_KILL,0,21,162,201,38,200,39,39
RIGHT HAND RULE,HUNT_AND_KILL,0,21,138,133,46,226,39,39
BFS,RECURSIVE_DIVISION,0,21,172,211,12,210,77,77
RIGHT HAND RULE,RECURSIVE_DIVISION,0,21,104,136,10,166,85,77
BFS,DFS,0,21,90,94,24,93,39,39
RIGHT HAND RULE,DFS,0,21,108,111,43,182,39,39
BFS,PRIM,0,21,177,201,32,200,47,47
RIGHT HAND RULE,PRIM,0,21,116,125,27,202,47,47
BFS,HUNT_AND_KILL,0,21,122,148,27,147,43,43
RIGHT HAND RULE,HUNT_AND_KILL,0,21,47,63,17,82,43,43
BFS,RECURSIVE_DIVISION,0,21,193,233,10,232,41,41
RIGHT HAND RULE,RECURSIVE_DIVISION,0,21,89,113,8,144,47,41
BFS,DFS,0,21,105,126,30,125,51,51
RIGHT HAND RULE,DFS,0,21,89,103,37,154,51,51
BFS,PRIM,0,21,145,187,26,186,39,39
RIGHT HAND RULE,PRIM,0,21,118,119,29,198,39,39
BFS,HUNT_AND_KILL,0,21,153,192,40,191,39,39
RIGHT HAND RULE,HUNT_AND_KILL,0,21,90,101,33,162,39,39
BFS,RECURSIVE_DIVISION,0,21,153,194,6,193,39,39
RIGHT HAND RULE,RECURSIVE_DIVISION,0,21,145,175,15,230,55,39
BFS,DFS,0,21,125,158,37,157,63,63
RIGHT HAND RULE,DFS,0,21,77,99,31,134,63,63
BFS,PRIM,0,21,158,201,31,200,47,47
RIGHT HAND RULE,PRIM,0,21,98,111,28,174,47,47
BFS,HUNT_AND_KILL,0,21,107,133,20,132,43,43
RIGHT HAND RULE,HUNT_AND_KILL,0,21,37,55,13,66,43,43
BFS,RECURSIVE_DIVISION,0,21,159,214,8,213,45,45
RIGHT HAND RULE,RECURSIVE_DIVISION,0,21,117,145,14,190,55,45
BFS,DFS,0,21,118,145,33,144,59,59
RIGHT HAND RULE,DFS,0,21,104,117,35,174,59,59
BFS,PRIM,0,21,129,167,25,166,43,43
RIGHT HAND RULE,PRIM,0,21,96,107,34,170,43,43
BFS,HUNT_AND_KILL,0,21,144,156,25,155,39,39
RIGHT HAND RULE,HUNT_AND_KILL,0,21,169,161,56,282,39,39
BFS,RECURSIVE_DIVISION,0,21,189,234,14,233,69,69
RIGHT HAND RULE,RECURSIVE_DIVISION,0,21,71,101,12,114,77,69
BFS,DFS,0,21,90,94,23,93,39,39
RIGHT HAND RULE,DFS,0,21,127,129,49,218,39,39
BFS,PRIM,0,21,149,200,33,199,43,43
RIGHT HAND RULE,PRIM,0,21,92,103,31,162,43,43
BFS,HUNT_AND_KILL,0,21,151,188,29,187,39,39
RIGHT HAND RULE,HUNT_AND_KILL,0,21,170,159,51,278,39,39
BFS,RECURSIVE_DIVISION,0,21,158,197,7,196,43,43
RIGHT HAND RULE,RECURSIVE_DIVISION,0,21,74,99,7,120,57,43
BFS,DFS,0,21,115,131,30,130,59,59
RIGHT HAND RULE,DFS,0,21,107,119,40,178,59,59
BFS,PRIM,0,21,129,167,24,166,51,51
RIGHT HAND RULE,PRIM,0,21,74,91,20,130,51,51
BFS,HUNT_AND_KILL,0,21,140,187,35,186,39,39
RIGHT HAND RULE,HUNT_AND_KILL,0,21,83,93,30,146,39,39
BFS,RECURSIVE_DIVISION,0,21,139,185,9,184,49,49
RIGHT HAND RULE,RECURSIVE_DIVISION,0,21,57,82,6,92,57,49
BFS,DFS,0,21,138,182,39,181,75,75
RIGHT HAND RULE,DFS,0,21,120,121,36,166,75,75
BFS,PRIM,0,21,161,201,33,200,43,43
